Total files in bucket: 672

File patterns:
  WhatsApp: 3
  other-image: 625
  img[N] (cladding): 44

Total products: 129
  Appwrite URLs: 81
  Local paths: 47
  No images: 1

--- ALL PRODUCTS ---
APPWRITE | cladding-stones | Terracotta Floor Tile Cuppuccino | imgs: 1
APPWRITE | cladding-stones | Terracotta Floor Tile Grey | imgs: 1
APPWRITE | cladding-stones | Terracotta Floor Tile Fire Clay | imgs: 1
APPWRITE | cladding-stones | Terracotta Floor Tile Burgundy | imgs: 1
LOCAL | stone-products | Garden Stone Bench | imgs: 4
LOCAL | stone-products | Granite Stone Pillar | imgs: 4
LOCAL | stone-products | Stone Table and Chair | imgs: 4
LOCAL | artificial-grass | 25mm Green | imgs: 4
LOCAL | artificial-grass | 35mm Green | imgs: 4
LOCAL | artificial-grass | 40mm Green | imgs: 4
LOCAL | artificial-grass | 40mm Mix | imgs: 4
LOCAL | artificial-grass | 50mm Green | imgs: 4
LOCAL | pebble-stones | Choice River Pebble Mix | imgs: 4
LOCAL | pebble-stones | River White | imgs: 4
LOCAL | pebble-stones | River Black | imgs: 4
LOCAL | pebble-stones | Zebra choice stone | imgs: 4
LOCAL | pebble-stones | Teak Wood choice | imgs: 4
LOCAL | pebble-stones | Choice Himalayan River Pebble | imgs: 4
LOCAL | pebble-stones | Choice stone Deep Purple | imgs: 4
LOCAL | pebble-stones | Zebra Choice | imgs: 4
LOCAL | pebble-stones | Choice Deep Purple | imgs: 4
LOCAL | paving-stones | Tandure stone | imgs: 4
LOCAL | paving-stones | Geerstone | imgs: 2
EMPTY | system_settings | System Settings | imgs: 0
